flow_id,entry_id,classification,member_index,paragraph_id,stable_ref,canonical_length,display_joiner,speech_run_policy,suppress_next_leading_ranges
FLOW.T22.P056-P059..E0026,LDC.T22.E0026,inherited_dash_continuation,2,LDC.T22.E0026.P058,LDC.T22.E0026.P058,116,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P056-P059..E0026,LDC.T22.E0026,inherited_dash_continuation,3,LDC.T22.E0026.P059,LDC.T22.E0026.P059,50,,,[]
FLOW.T22.P062-P063..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P062,LDC.T22.E0026.P062,54,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P062-P063..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P063,LDC.T22.E0026.P063,60,,,[]
FLOW.T23.P002-P005..E0001,LDC.T23.E0001,inherited_dash_continuation,0,LDC.T23.E0001.P002,LDC.T23.E0001.P002,56,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P002-P005..E0001,LDC.T23.E0001,inherited_dash_continuation,1,LDC.T23.E0001.P003,LDC.T23.E0001.P003,34,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P002-P005..E0001,LDC.T23.E0001,inherited_dash_continuation,2,LDC.T23.E0001.P004,LDC.T23.E0001.P004,43,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P002-P005..E0001,LDC.T23.E0001,inherited_dash_continuation,3,LDC.T23.E0001.P005,LDC.T23.E0001.P005,73,,,[]
FLOW.T23.P013-P015..E0001,LDC.T23.E0001,inherited_dash_continuation,0,LDC.T23.E0001.P013,LDC.T23.E0001.P013,80,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P013-P015..E0001,LDC.T23.E0001,inherited_dash_continuation,1,LDC.T23.E0001.P014,LDC.T23.E0001.P014,46,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P013-P015..E0001,LDC.T23.E0001,inherited_dash_continuation,2,LDC.T23.E0001.P015,LDC.T23.E0001.P015,47,,,[]
FLOW.T23.P016-P018..E0001,LDC.T23.E0001,inherited_dash_continuation,0,LDC.T23.E0001.P016,LDC.T23.E0001.P016,35,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P016-P018..E0001,LDC.T23.E0001,inherited_dash_continuation,1,LDC.T23.E0001.P017,LDC.T23.E0001.P017,19,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P016-P018..E0001,LDC.T23.E0001,inherited_dash_continuation,2,LDC.T23.E0001.P018,LDC.T23.E0001.P018,71,,,[]
